,x,y,z,density_qmc,vxc_qmc,erbar_qmc
0,0.0,0.0,0.0,0.0014689024081778,-0.2847841759299829,6.6976267115e-06
1,0.0,0.2138143125,0.2138143125,0.0059021467518878,-0.3304192195258792,1.7392272467e-05
2,0.0,0.427628625,0.427628625,0.0202234621438163,-0.3768137173400629,5.68434009097e-05
3,0.0,0.6414429375,0.6414429375,0.0411529330859314,-0.4190166233249558,0.0001103829754998
4,0.0,0.85525725,0.85525725,0.0578453456247961,-0.4487044152440628,0.0001406482787631
5,0.0,1.0690715625,1.0690715625,0.0625104468322585,-0.4610457580426413,0.0001289784143209
6,0.0,1.282885875,1.282885875,0.0571299607524417,-0.4544251777892943,0.0001034089804467
7,0.0,1.4967001875,1.4967001875,0.0480434500448671,-0.433640125536412,9.09846284684e-05
8,0.0,1.7105145,1.7105145,0.0395202053081409,-0.4093554401256048,8.61827929781e-05
9,0.0,1.9243288125,1.9243288125,0.0328364087380941,-0.38422643488853,8.21178332742e-05
10,0.0,2.138143125,2.138143125,0.0280472404801798,-0.3550390084040108,7.57753321747e-05
11,0.0,2.3519574375,2.3519574375,0.0251567393384266,-0.3311729755920584,6.90555907387e-05
12,0.0,2.56577175,2.56577175,0.0242208234832085,-0.3263747296035479,6.65467021013e-05
13,0.0,2.7795860625,2.7795860625,0.0252323603791124,-0.3415729536808682,7.21204808169e-05
14,0.0,2.993400375,2.993400375,0.0281313252107584,-0.3645678592775135,7.884127802e-05
15,0.0,3.2072146875,3.2072146875,0.0328634884370308,-0.3847651579983668,8.37908770531e-05
16,0.0,3.421029,3.421029,0.0394655152337908,-0.4017616969662212,9.34432857792e-05
17,0.0,3.6348433125000006,3.6348433125000006,0.0479084154674567,-0.4200893096877102,0.0001132506636393
18,0.0,3.848657625,3.848657625,0.0569541892657119,-0.4385561466411733,0.0001364459600945
19,0.0,4.0624719375,4.0624719375,0.062372105366613,-0.4492500213154813,0.0001545478332294
20,0.0,4.27628625,4.27628625,0.0577987629768413,-0.4459699165566274,0.0001588467511176
21,0.0,4.4901005625,4.4901005625,0.0411551710301863,-0.4226804043062404,0.000124550719514
22,0.0,4.703914875,4.703914875,0.0202090375628025,-0.3772898081711616,6.27425052737e-05
23,0.0,4.917729187500001,4.917729187500001,0.005881104978801,-0.3193701900355554,1.7524006791e-05
24,0.2138143125,0.0,0.2138143125,0.0058664101301249,-0.3220814777670043,2.03110087247e-05
25,0.2138143125,0.2138143125,0.427628625,0.0170407280765381,-0.3775318995037319,5.12004705316e-05
26,0.2138143125,0.427628625,0.6414429375,0.0375780045357895,-0.4194726029636902,0.0001056249946785
